episode,total_reward,epsilon
1,-1.2300834942,2.9287161715
2,-1.7000834942,2.8136538644
3,0.8670834942,2.692299634
4,110,2.5658747514
5,-32.8777911663,2.4453865226
6,24.3326590061,2.3587480826
7,80,2.2751791857
8,45.5049300194,2.2122335526
9,-11.5528204441,2.1338555694
10,-2.5901763439,2.0582544666
11,5.7960987091,1.9853318613
12,5.2728741169,1.9459416091
13,80,1.8769981747
14,-13.9927539825,1.8104973609
15,65.2164767981,1.7463526274
16,-25.5450205803,1.6912454815
17,-23.7638559341,1.6643474809
18,-23.3447284698,1.6248004607
19,-27.286567688,1.5861931283
20,60,1.5423091427
21,36.2397890091,1.4936407045
22,-19.6742596626,1.4523172957
23,-38.0817804337,1.4178083833
24,34.3565883636,1.3841194468
25,-14.3826961517,1.340442774
26,-12.8106396198,1.3033577745
27,8.8942584991,1.2622295821
28,53.5878820419,1.222399213
29,-9.4944825172,1.1838257138
30,13.1873521805,1.1373160113
31,-12.7845112085,1.0926335647
32,60,1.062404512
33,-20.0847289562,1.0288797361
34,-35.9776515961,0.9845036634
35,14.9298334122,0.9534370929
36,29.206137538,0.927059082
37,45.9975651503,0.9014108512
38,48.035036087,0.8694744562
39,50,0.8488146335
40,-21.676800251,0.8253311318
41,39.2692455053,0.7992873407
42,70,0.7740653761
43,53.3189840317,0.7496393049
44,-11.4854522943,0.7288996107
45,15.4178929329,0.7087337057
46,-7.1314293146,0.6836237355
47,-18.8061797619,0.6620516015
48,22.6855926514,0.6437351289
49,70,0.6234217025
50,11.1346023083,0.6061739736
51,11.3847942352,0.5870458107
52,4.343091011,0.5753984469
53,-24.1088317633,0.5617262455
54,-2.2338202,0.548378913
55,-42.6827311516,0.5353487302
56,0.5418114662,0.5226281612
57,-1.8922576904,0.5122588847
58,9.5051708221,0.5000869598
59,-2.6559009552,0.4882042555
60,-3.3996195793,0.4766038993
61,-40.6182513237,0.4652791825
62,-27.173913002,0.4542235553
63,-11.2984013557,0.443430624
64,19.0451767445,0.4328941464
65,-44.3422722816,0.4226080291
66,-6.8235824108,0.412566323
67,-8.9142370224,0.4027632207
68,50,0.3931930525
69,33.8695230484,0.3838502838
70,80,0.3702507201
71,-13.3849272728,0.3600072782
72,-47.6896214485,0.3514530458
73,50,0.3431020729
74,50,0.3349495298
75,-24.6483230591,0.3269907015
76,13.6867051125,0.3192209852
77,50,0.3116358872
78,34.7367429733,0.3042310208
79,-29.0205038786,0.2970021035
80,2.153047204,0.2899449545
81,34.3377523422,0.2830554924
82,-7.2994890213,0.2763297326
83,19.0730359554,0.2697637855
84,50,0.2633538537
85,50,0.2570962301
86,19.661765337,0.2509872956
87,17.6711220741,0.2450235171
88,24.4184379578,0.240162094
89,25.264485836,0.2353971247
90,-30.0400853157,0.2307266954
91,-33.3396468163,0.2252443347
92,53.5720717907,0.2181366222
93,38.285697937,0.2112531976
94,27.3360109329,0.2054086178
95,90,0.1973386007
96,80,0.1903470236
97,65.8140723705,0.1836031534
98,85.7632193565,0.175684262
99,33.1567742825,0.1715097798
100,33.274533987,0.1674344885
101,-2.0824481249,0.1634560314
102,34.2615733147,0.1595721075
103,34.3168663979,0.1557804706
104,18.6058034897,0.1520789278
105,16.3218075037,0.1484653384
106,19.0226461887,0.1449376125
107,17.7989399433,0.1414937098
108,50,0.1381316387
109,17.8464682102,0.1348494547
110,29.4374809265,0.1311186785
111,73.6587438583,0.1259673369
112,12.6560887098,0.1210183792
113,66.6116445065,0.1157987989
114,65.3125553131,0.1116961234
115,42.1584179401,0.1073078479
116,54.3164262772,0.103921688
117,50,0.101452376
118,25.1666761637,0.0986455712
119,40.6246465445,0.0955327543
120,20.7147204876,0.0925181642
121,20.2222508192,0.0895987011
122,50,0.0874697216
123,35.1031537056,0.084709565
124,46.6661803722,0.0817083607
125,37.2652592659,0.0791300072
126,29.5283801556,0.0763264829
127,55.7777807713,0.0724513781
128,51.6935870647,0.0693265156
129,60.3574128151,0.0660710843
130,120,0.0627166473
131,55.079177618,0.0595325154
132,57.1602842808,0.0565100423
133,73.7120658159,0.0536410206
134,57.1009278297,0.0509176594
135,60.7533085346,0.0485266703
136,52.224448204,0.0464336919
137,105.7842991352,0.0440762477
138,57.6158182621,0.0418384912
139,33.0192365646,0.0403561809
140,34.0686974525,0.0393972665
141,32.7445371151,0.0384611372
142,31.084117651,0.0370984844
143,26.721987009,0.0360721091
144,29.1305541992,0.0350741298
145,26.0761947632,0.0341037608
146,55.2800811529,0.0326328494
147,47.3717377186,0.0311004776
148,80,0.029998608
149,48.4763684273,0.028935777
150,94.2499341965,0.0275770121
151,100,0.0263876025
152,52.7117996216,0.0252494926
153,61.0381791592,0.0240638281
154,16.6742119789,0.0234920409
155,90,0.0225690943
156,30.0603060722,0.0219446925
157,68.1556167603,0.0209982075
158,54.8277348876,0.0200925448
159,30.8934817314,0.0193806791
160,-24.1212265491,0.0189201695
161,25.3210020065,0.0185447812
162,53.2528529167,0.017744936
163,64.7833781242,0.0171162445
164,34.4219398499,0.0167095407
165,60,0.0162472507
166,26.4376850128,0.0156716213
167,38.274061501,0.0149956968
168,31.6687068939,0.0146393799
169,35.3806972504,0.0142915296
170,20.5579538345,0.0138405523
171,73.1619167328,0.0132967898
172,70,0.0128772021
173,47.8249397278,0.0124209713
174,28.1011354923,0.0120773298
175,53.723341465,0.0116962228
176,35.6914775372,0.0113271419
177,60,0.0110137626
178,58.3777217865,0.010581058
179,48.5695307255,0.010206178
180,100,0.0099636662
181,37.9567358494,0.0099636662
182,18.6213874817,0.0099636662
183,22.235581398,0.0099636662
184,46.0392618179,0.0099636662
185,49.4437811375,0.0099636662
186,22.7668302059,0.0099636662
187,59.1928217411,0.0099636662
188,61.7035179138,0.0099636662
189,37.8532385826,0.0099636662
190,36.386742115,0.0099636662
191,33.5595299006,0.0099636662
192,80,0.0099636662
193,21.6460084915,0.0099636662
194,49.4181480408,0.0099636662
195,36.1350500584,0.0099636662
196,36.1876134872,0.0099636662
197,29.6508603096,0.0099636662
198,31.8642446995,0.0099636662
199,27.5855851173,0.0099636662
200,27.4196228981,0.0099636662
201,65.5623694658,0.0099636662
202,80,0.0099636662
203,90,0.0099636662
204,54.3094146252,0.0099636662
205,43.2087147236,0.0099636662
206,37.3448543549,0.0099636662
207,28.8853662014,0.0099636662
208,30.4754691124,0.0099636662
209,43.9795331955,0.0099636662
210,22.8476626873,0.0099636662
211,71.0114040375,0.0099636662
212,68.2306263447,0.0099636662
213,100,0.0099636662
214,100,0.0099636662
215,100,0.0099636662
216,25.2177257538,0.0099636662
217,34.2654898167,0.0099636662
218,44.8059258461,0.0099636662
219,21.2951924801,0.0099636662
220,90,0.0099636662
221,32.6534018517,0.0099636662
222,47.0993387699,0.0099636662
223,37.9188594818,0.0099636662
224,60,0.0099636662
225,33.7146113813,0.0099636662
226,43.6765139103,0.0099636662
227,71.2081198692,0.0099636662
228,80,0.0099636662
229,70,0.0099636662
230,72.9646835327,0.0099636662
231,80,0.0099636662
232,2.3338894844,0.0099636662
233,60,0.0099636662
234,64.1439809799,0.0099636662
235,75.6755082607,0.0099636662
236,38.0288164616,0.0099636662
237,43.2861189842,0.0099636662
238,48.2207860947,0.0099636662
239,94.048494339,0.0099636662
240,90,0.0099636662
241,100,0.0099636662
242,100,0.0099636662
243,100,0.0099636662
244,110,0.0099636662
245,49.0265519619,0.0099636662
246,120,0.0099636662
247,120,0.0099636662
248,120,0.0099636662
249,110,0.0099636662
250,30.9805395603,0.0099636662
251,54.2576160431,0.0099636662
252,0.8277522326,0.0099636662
253,-22.5889023542,0.0099636662
254,80,0.0099636662
255,90,0.0099636662
